# Condensation temperatures from from Table 2 (solar system abundances
# in Lodders 2003,
# http://adsabs.harvard.edu/abs/2003ApJ...591.1220L.

# tc is the condensation temperature in K when condensation begins,
# tc50 is the 50% condensation temperature in K when 50% of the
# element is left in a gaseous state.

el|tc      |initial_phase                 |tc50  |major_phase_or_host
Nd|-1      |{Nd_{2}O_{3}}                 |1602  |Hibonite
Sm|-1      |{Sm_{2}O_{3}}                 |1590  |Hibonite + titanate
Eu|-1      |{EuO, Eu_{2}O_{3}}            |1356  |Hibonite + titanate + feldspar
Gd|-1      |{Gd_{2}O_{3}}                 |1659  |Hibonite
Tb|-1      |{Tb_{2}O_{3}}                 |1659  |Hibonite
Dy|-1      |{Dy_{2}O_{3}}                 |1659  |Hibonite
Ho|-1      |{Ho_{2}O_{3}}                 |1659  |Hibonite
Er|-1      |{Er_{2}O_{3}}                 |1659  |Hibonite
Tm|-1      |{Tm_{2}O_{3}}                 |1659  |Hibonite
Yb|-1      |{Yb_{2}O_{3}}                 |1487  |Hibonite + titanate
Lu|-1      |{Lu_{2}O_{3}}                 |1659  |hibonite
Hf|1703    |HfO_{2}                       |1684  |HfO_{2}
Ta|-1      |{Ta_{2}O_{5}}                 |1573  |Hibonite + titanate
W |-1      |{W}                           |1789  |Refractory metal alloy
Re|-1      |{Re}                          |1821  |Refractory metal alloy
Os|-1      |{Os}                          |1812  |Refractory metal alloy
Ir|-1      |{Ir}                          |1603  |Refractory metal alloy
Pt|-1      |{Pt}                          |1408  |Refractory metal alloy
Au|-1      |{Au}                          |1060  |Fe alloy
Hg|-1      |{HgS, HgSe, HgTe}             |252   |Troilite
Tl|-1      |{Tl_{2}S, Tl_{2}Se, Tl_{2}Te} |532   |Troilite
Pb|-1      |{Pb}                          |727   |Fe alloy
Bi|-1      |{Bi}                          |746   |Fe alloy
Th|-1      |{ThO_{2}}                     |1659  |Hibonite
U |-1      |{UO_{2}}                      |1610  |Hibonite
